pl_orbper,pl_trandur,pl_trandep,pl_rade,pl_radj,st_rad,st_teff,st_mass,st_logg,st_met,sy_pnum,sy_snum,pl_eqt,pl_insol,disposition
7.79983,3.0,0.0561,1.37,0.122,0.554,,,,,1.0,1.0,,,CANDIDATE
7.7991586,2.94,0.0423,1.57,0.14006602,0.7,4535.0,,,,1.0,1.0,,,CANDIDATE
3.883,2.03,0.0322,1.06,0.09456703,0.554,,,,,1.0,1.0,,162.0,CANDIDATE
2.3330982,1.4,0.993,5.48,0.48889285,0.5,3726.0,,,,0.0,1.0,,,CANDIDATE
2.33293,1.2096,,3.2,0.29,0.224,3508.0,,5.062,,0.0,1.0,,,CANDIDATE
2.333123,1.128,1.27,2.95,0.263,0.224,,,,,0.0,1.0,,,CANDIDATE
20.2073,3.72,0.0735,2.12,0.189,0.7624,,,,,0.0,1.0,,,CANDIDATE
36.7099,17.664,,,,5.33871,5069.12,,,-0.612,0.0,1.0,,,CANDIDATE
36.762337,18.73,0.177,3.44,0.30689624,0.75,4932.0,,,,0.0,1.0,,,CANDIDATE
19.565799,5.3,,6.412,0.57204131,0.854,4486.0,1.193,4.652,-0.122,0.0,1.0,7550.939335881596,11.66685407689199,CANDIDATE
6.39916,2.472,0.0401,1.48,0.132,0.7006,,,,,0.0,1.0,,,CANDIDATE
6.3991398,2.1,0.0449,1.85,0.16504595,0.8,5210.0,,,,0.0,1.0,,,CANDIDATE
2.72273204,3.596,1.494,,,2.85976,8002.0,1.93,3.81097,,0.0,1.0,43898.95697018753,13328.051057634782,CANDIDATE
15.695142,2.9,,2.028,0.18092635,0.625,4270.0,0.743,4.719,-0.315,0.0,1.0,7160.885200342434,9.436624778739237,CANDIDATE
2.48038,1.848,0.0116,1.44,0.128,1.27,,,,,0.0,1.0,,,CANDIDATE
1.9668579,2.4,0.0322,1.51,0.13471318,0.77,5063.0,,,,0.0,1.0,,,CANDIDATE
1.96712,2.712,0.0361,1.73,0.154,0.826,,,,,0.0,1.0,,,CANDIDATE
,,,,,0.52,4419.0,,,-0.98,0.0,1.0,,,FALSE POSITIVE
12.726743,3.88,0.0579,1.91,0.17039879,0.73,4767.0,,,,0.0,1.0,,,CANDIDATE
13.2359,2.64,0.0469,2.09,0.186,0.924,,,,,0.0,1.0,,,CANDIDATE
0.18746328,1.07,1.32,217.0,19.3594433,17.27,46696.0,,,,0.0,1.0,,,CANDIDATE
8.6382631,1.89,2.43,8.53,0.76099563,0.5,3720.0,,,,0.0,1.0,,,CANDIDATE
8.63829,1.53192,,6.81,0.608,0.438,3960.0,,4.844,,0.0,1.0,,,CANDIDATE
8.6381,,,15.99,1.427,0.5,3987.0,,,-0.44,0.0,1.0,536.0,,CANDIDATE
8.63795,2.0472,2.738,15.1,1.35,0.438,,,,,0.0,1.0,,,CANDIDATE
5.7968861,2.57,9.43,24.2,2.15897939,0.72,4721.0,,,,0.0,1.0,,,FALSE POSITIVE
5.79687,,,27.81,2.481,0.79,5192.0,,,-0.09,0.0,1.0,930.0,,FALSE POSITIVE
0.4775252,2.0472,1.5255,20.1,1.79,0.522,,,,,0.0,1.0,,,CANDIDATE
22.197992,2.54,1.52,5.34,0.47640289,0.4,3508.0,,,,0.0,1.0,,,CANDIDATE
44.394,2.784,1.517,4.07,0.363,0.318,,,,,0.0,1.0,,,CANDIDATE
3.29163,1.2888,0.0394,1.17,0.104,0.567,,,,,0.0,1.0,,,CANDIDATE
3.2908998,0.96,0.0406,1.57,0.14006602,0.72,4671.0,,,,0.0,1.0,,,CANDIDATE
0.877214,,,1.3,0.11597843,0.93,5820.0,,4.6,-0.01,2.0,1.0,,,CONFIRMED
0.87724,,,1.565,0.13962019,0.98,5679.0,0.958,4.435,0.01,2.0,1.0,2038.0,2852.0,CONFIRMED
0.87703,1.0008,0.025,1.2,0.11,0.990833,5711.17,1.018,4.45381,0.018,2.0,1.0,1874.0,2880.1040966201595,CONFIRMED
0.877183,,,1.40575209,0.13,0.932487,5705.0,,4.48,-0.01,2.0,1.0,,,CONFIRMED
2.8964139,1.63,0.289,2.45,0.21857436,0.42,3547.0,,,,0.0,1.0,,,CANDIDATE
2.89607106,1.874,0.383,,,0.524138,3565.0,0.521398,4.71635,,0.0,1.0,10201.634805993344,38.87128810548199,CANDIDATE
2.896528,1.5984,0.3274,1.45,0.129,0.242,,,,,0.0,1.0,,,CANDIDATE
0.44433632,0.72,0.0134,1.01,0.09010616,0.8,5208.0,,,,0.0,1.0,,,CANDIDATE
0.444372,,,1.22,0.109,0.82,5540.0,,4.81,0.03,0.0,1.0,,,CANDIDATE
3.80464,,,1.22,0.10884111,,,1.073,,,2.0,1.0,,,CONFIRMED
7.28161,,,1.78,0.159,0.49,3742.0,,,-0.08,0.0,1.0,518.0,,CANDIDATE
7.28116,,,1.79,0.16,0.541438,3726.0,0.537488,4.70134,,0.0,1.0,7929.411258365695,14.187752823023322,CANDIDATE
7.28076,1.872,0.1293,2.6,0.23,0.399,,,,,0.0,1.0,,,CANDIDATE
7.28138,1.32,,17.0,1.5,0.399,3784.0,,4.883,,0.0,1.0,,,CANDIDATE
7.28131,1.31,0.116,1.9,0.16950665,0.51,3748.0,,,,0.0,1.0,,,CANDIDATE
4.58328,2.208,0.152,2.21,0.197,0.545,,,,,0.0,1.0,,,CANDIDATE
1.65336,1.608,0.0686,1.51,0.135,0.545,,,,,0.0,1.0,,,CANDIDATE
5.28081,3.26904,,10.9,0.97,3.01,6227.0,,3.676,,0.0,1.0,,,CANDIDATE
5.28130579,3.552,0.074,,,2.66957,6161.41,1.17,3.65337,0.047,0.0,1.0,28464.795221222103,2356.036945810817,CANDIDATE
440.0,,,16.3,1.45,0.85,4600.0,,,,0.0,1.0,,,CANDIDATE
30.0,,,22.8,2.03,0.89,3400.0,,,,0.0,1.0,,,CANDIDATE
,5.16,3.177,24.9,2.22,0.6009,,,,,0.0,1.0,,,CANDIDATE
7.655533,3.0,,2.328,0.20769061,0.751,5114.0,1.004,4.687,-0.144,0.0,1.0,11358.438794992142,59.734386823126016,CANDIDATE
27.770388,3.14,10.6,25.1,2.23927201,0.71,4598.0,,,,0.0,1.0,,,FALSE POSITIVE
27.77045,,,32.79,2.925,8.15,5086.0,,,-0.17,0.0,1.0,441.0,,FALSE POSITIVE
0.259669,,,0.77,0.069,0.69,4340.0,,4.25,-0.81,0.0,1.0,,,CANDIDATE
0.25967056,0.5,0.0132,0.742,0.06619681,0.59,3982.0,,,,0.0,1.0,,,CANDIDATE
5.54583,2.088,0.0152,0.441,0.0393,0.34,,,,,0.0,1.0,,,CANDIDATE
18.4502,3.72,0.085,2.52,0.225,0.717,,,,,0.0,1.0,,,CANDIDATE
35.621,,0.045,1.89,0.1686148,0.898,5440.0,0.954,4.512,,1.0,1.0,420.0,14.565740646994456,CANDIDATE
4.1333,1.704,0.112,1.2,0.11,0.312,,,,,0.0,1.0,,,CANDIDATE
1.9611469,1.33,0.727,5.93,0.52903916,0.64,4166.0,,,,0.0,1.0,,,CANDIDATE
1.96133691104,1.632367,0.92350385,15.86577929,1.41545246,1.06738,4427.0,,4.22028,,0.0,1.0,1225.69,533.383,CANDIDATE
40.7302,2.6496,,7.8,0.7,0.98,5840.0,,4.44,,0.0,1.0,,,CANDIDATE
40.7362,,,7.28,0.649,0.85,5618.0,,,-0.26,0.0,1.0,529.0,,CANDIDATE
18.10220826,4.521,0.78,,,2.04778,6141.1,1.164,3.88145,-0.0886,0.0,1.0,16494.425053732222,265.6431179414015,CANDIDATE
0.60408352,0.97,0.0963,2.26,0.2016237,0.67,4331.0,,,,0.0,1.0,,,CANDIDATE
3.52743,1.3296,,1.11,0.099,0.257,3624.0,,5.014,,0.0,1.0,,,CANDIDATE
3.52725,1.68,0.199,1.21,0.108,0.257,,,,,0.0,1.0,,,CANDIDATE
3.52674,,,1.32,0.118,0.350987,3413.0,0.335348,4.87298,,0.0,1.0,8055.516947403216,15.112054249934692,CANDIDATE
3.5269024,1.57,0.167,2.98,0.26585779,0.67,4332.0,,,,0.0,1.0,,,CANDIDATE
6340.0,,,12.8,1.14,0.88,4800.0,,,,0.0,1.0,,,CANDIDATE
9.321691,3.6,,17.325,1.54563563,0.678,5089.0,0.787,4.712,-0.255,0.0,1.0,10473.825192793538,43.188798916399584,CANDIDATE
6.662,3.072,0.0946,1.59,0.142,0.483,,,,,0.0,1.0,,,CANDIDATE
2.71578,,,1.03,0.09189045,,,0.67,,,3.0,1.0,,,CONFIRMED
2.0478,,,0.90819,0.08102328,0.655,4520.0,0.727,4.659,-0.003,1.0,1.0,15355.34398720449,199.5207371779305,CONFIRMED
,4.8072,1.3972,35.0,3.1,1.266,,,,,0.0,1.0,,,CANDIDATE
27.27048734,6.748,3.413,,,2.564,5990.87,1.1,3.66162,-0.5519,0.0,1.0,15855.181037518223,226.7956196462405,FALSE POSITIVE
27.242808,6.5664,3.7137,93.0,8.3,2.54,,,,,0.0,1.0,,,FALSE POSITIVE
27.24273,,,31.73,2.831,0.92,6166.0,,,-0.54,0.0,1.0,707.0,,FALSE POSITIVE
27.242912,6.56,3.7,18.8,1.67722366,0.9,5547.0,,,,0.0,1.0,,,FALSE POSITIVE
1.395336,1.2312,0.0665,0.76,0.068,0.28,,,,,0.0,1.0,,,CANDIDATE
1.39533316,1.18,0.054,,,0.424658,3433.0,0.419014,4.80422,,0.0,1.0,11698.085128561152,67.2061398169143,CANDIDATE
1.3951513,1.15,0.0616,0.879,0.07841913,0.32,3390.0,,,,0.0,1.0,,,CANDIDATE
15.3791,2.28,0.256,1.89,0.169,0.336,,,,,0.0,1.0,,,CANDIDATE
33.5107,5.2896,,2.14,0.191,0.896,5683.0,,4.5,,0.0,1.0,,,CANDIDATE
33.51569,,,3.83,0.342,0.71,5552.0,,,-0.69,0.0,1.0,613.0,,CANDIDATE
33.5116,5.352,0.0732,2.89,0.258,0.875,,,,,0.0,1.0,,,CANDIDATE
33.513607,,,2.47313225,0.22,0.857642,5628.0,,4.57,-0.18,0.0,1.0,,,CANDIDATE
33.515399,4.81,0.0822,2.03,0.18110447,0.65,4222.0,,,,0.0,1.0,,,CANDIDATE
3.96151,,,1.0,0.08921402,,,0.611,,,2.0,1.0,,,CONFIRMED
3.96165,2.16,0.0485,1.48,0.132,0.634,,,,,2.0,1.0,,,CONFIRMED
6.97251,2.808,0.0916,2.01,0.179,0.6252,,,,,0.0,1.0,,,CANDIDATE
4.1698,,,1.04,0.09278259,0.628461,5053.0,0.802,4.595,0.0,1.0,1.0,13050.87733227983,104.113889684901,CONFIRMED
4.16959,,,1.1,0.09813543,,,0.802,,,1.0,1.0,,,CONFIRMED
4.16888,2.4,0.0447,1.41,0.126,0.628,,,,,1.0,1.0,,,CONFIRMED
12.3389,2.76,0.1021,2.11,0.188,0.628,,,,,1.0,1.0,,,CANDIDATE
12.339133,2.84,0.107,2.59,0.23106432,0.73,4751.0,,,,1.0,1.0,,,CANDIDATE
2.89465,1.44,0.0551,1.75,0.156,0.702,,,,,0.0,1.0,,,CANDIDATE
3.83794,2.112,0.0315,1.51,0.135,0.809,,,,,0.0,1.0,,,CANDIDATE
5.24086,2.568,0.0292,1.46,0.13,0.809,,,,,0.0,1.0,,,CANDIDATE
2790.0,,,12.2,1.09,0.93,5100.0,,,,0.0,1.0,,,CANDIDATE
8.91058,2.88,0.0592,2.8,0.25,1.028,,,,,0.0,1.0,,,CANDIDATE
28.2692,4.2504,,3.35,0.299,1.29,5631.0,,4.2,,0.0,1.0,,,CANDIDATE
28.270642,4.3,0.0813,2.79,0.24890713,0.9,5545.0,,,,0.0,1.0,,,CANDIDATE
28.2671,4.224,0.0757,2.94,0.262,1.028,,,,,0.0,1.0,,,CANDIDATE
28.271761,,,2.7100633,0.24,0.933556,5548.0,,4.42,0.13,0.0,1.0,,,CANDIDATE
28.2717,4.104,,,,1.02594,5564.0,0.98,4.40705,-0.01,0.0,1.0,9382.35429225475,27.809754532804163,CANDIDATE
4.73172,1.2,0.0245,1.7,0.15,1.028,,,,,0.0,1.0,,,CANDIDATE
0.782022,1.416,0.0267,1.58,0.141,0.94,,,,,0.0,1.0,,,CANDIDATE
0.78214992,1.31,0.0226,1.29,0.11508609,0.79,5144.0,,,,0.0,1.0,,,CANDIDATE
15.4769,3.528,0.173,2.89,0.258,0.66,,,,,0.0,1.0,,,CANDIDATE
6.4498648,1.63,0.0814,2.63,0.23463288,0.85,5395.0,,,,0.0,1.0,,,CANDIDATE
6.45027,1.632,0.0606,2.29,0.204,0.894,,,,,0.0,1.0,,,CANDIDATE
1.19478,7.104,,1.65,0.147,0.235,3671.0,,5.053,,0.0,1.0,,,FALSE POSITIVE
,,,,,0.7,4786.0,,,-0.16,0.0,1.0,,,FALSE POSITIVE
1.5771832,3.96,2.49,33.4,2.97974842,1.94,8210.0,,,,0.0,1.0,,,FALSE POSITIVE
1.57753,0.0,,26.0,2.3,1.93,7747.0,,4.08,,0.0,1.0,,,FALSE POSITIVE
3.262038,2.2536,2.4289,,,5.27397,10318.0,,,,0.0,1.0,,,CANDIDATE
4.4654,7.488,1.59,45.0,4.0,2.3,,,,,0.0,1.0,,,CANDIDATE
21.140574,4.63,5.01,31.5,2.81024177,1.29,6205.0,,,,0.0,1.0,,,CANDIDATE
5.74372,4.2048,0.7985,,,,,,,,0.0,1.0,,,CANDIDATE
3.2923818,1.76,0.924,19.6,1.74859488,1.87,7824.0,,,,0.0,1.0,,,CANDIDATE
6.90487,3.5088,,53.0,4.7,1.45,6599.0,,4.241,,0.0,1.0,,,CANDIDATE
6.905053,3.8736,2.5067,,,,,,,,0.0,1.0,,,CANDIDATE
6.9055211,3.65,2.65,33.6,2.99759122,1.89,6722.0,,,,0.0,1.0,,,CANDIDATE
1.696374,3.7296,3.779,35.3,3.15,1.793,,,,,0.0,1.0,,,CANDIDATE
3.046136,2.52,3.778,76.0,6.8,1.698,,,,,0.0,1.0,,,CANDIDATE
3.0459383,2.21,3.82,19.0,1.69506646,0.89,5529.0,,,,0.0,1.0,,,CANDIDATE
3.04622,2.5488,,29.0,2.6,0.89,5529.0,,4.5,,0.0,1.0,,,CANDIDATE
3.23792,1.4448,0.0431,,,0.639668,4500.0,0.707,4.67558,,0.0,1.0,13028.165466098992,103.39104009849537,CANDIDATE
3.238542,1.27,0.0499,1.67,0.14898742,0.69,4446.0,,,,0.0,1.0,,,CANDIDATE
3.2367,1.2192,,1.58,0.141,0.74,4863.0,,4.597,,0.0,1.0,,,CANDIDATE
6.2719092,5.32,9.29,60.0,5.35284147,1.81,7254.0,,,,0.0,1.0,,,CANDIDATE
23.7782,5.0712,,98.0,8.7,2.09,7498.0,,4.03,,0.0,1.0,,,FALSE POSITIVE
1.42636,2.328,0.03016,6.66,0.594,4.28,,,,,0.0,1.0,,,CANDIDATE
3.979287,4.82,3.5,37.5,3.34552592,1.84,7430.0,,,,0.0,1.0,,,CANDIDATE
2.1417519,6.93,24.8,86.2,7.69024891,1.59,6492.0,,,,0.0,1.0,,,CANDIDATE
2.86136,2.16,0.1169,,,0.50129,3697.0,0.499329,4.73628,,0.0,1.0,10463.02794833461,43.01098443983076,CANDIDATE
3.10622,2.712,0.195,,,0.501135,3636.0,0.499177,4.73641,,0.0,1.0,10011.522408192264,36.05374114536296,CANDIDATE
1.814553,3.4368,1.289,,,10.0566,4618.0,,,,0.0,1.0,,,CANDIDATE
17.1541,8.472,1.948,,,16.1325,4930.0,,,,0.0,1.0,,,CANDIDATE
12.1507,3.84,0.029,1.48,0.132,0.83,,,,,0.0,1.0,,,CANDIDATE
2.4343734,7.44,38.7,61.4,5.4777411,0.9,5568.0,,,,0.0,1.0,,,CANDIDATE
1.8490876,3.12,2.74,17.3,1.54340262,0.96,5693.0,,,,0.0,1.0,,,CANDIDATE
2.620724,2.46,0.889,11.7,1.04380409,1.14,6013.0,,,,0.0,1.0,,,CANDIDATE
2.620799,2.6184,0.941,37.0,3.3,1.725,,,,,0.0,1.0,,,CANDIDATE
2.62077,2.112,,58.0,5.2,1.4,6302.0,,4.23,,0.0,1.0,,,CANDIDATE
1.314437,,,3.09990986,0.28,1.472064,6009.0,,4.09,-0.12,0.0,1.0,,,CANDIDATE
1.3144014,1.69,0.0426,2.78,0.24801499,1.23,6137.0,,,,0.0,1.0,,,CANDIDATE
4.8045244,2.33,0.0678,3.62,0.32295477,1.28,6187.0,,,,0.0,1.0,,,CANDIDATE
6.14818,3.8856,0.1513,,,2.29043,6591.31,,,-0.039,0.0,1.0,,,CANDIDATE
1.49761,2.712,0.02228,,,,,,,,0.0,1.0,,,CANDIDATE
6.479656,,,3.33165021,0.3,0.921539,5586.0,,4.5,0.15,0.0,1.0,,,CANDIDATE
6.48167,2.808,0.1249,3.46,0.309,0.922,,,,,0.0,1.0,,,CANDIDATE
6.4804111,2.94,0.121,3.39,0.30243554,0.89,5537.0,,,,0.0,1.0,,,CANDIDATE
2.8445331,5.69,26.5,65.3,5.8256758,1.16,6045.0,,,,0.0,1.0,,,CANDIDATE
0.6687,2.16,0.01196,2.22,0.198,1.942,,,,,0.0,1.0,,,CANDIDATE
13.3461,2.6568,0.5465,42.0,3.7,2.575,,,,,0.0,1.0,,,CANDIDATE
4.13737,2.2368,1.049,24.5,2.19,1.03,,,,,0.0,1.0,,,CANDIDATE
4.1376047,1.75,0.911,7.33,0.6539388,0.7,4581.0,,,,0.0,1.0,,,CANDIDATE
2.469851,2.6592,0.1234,6.6,0.59,1.479,,,,,0.0,1.0,,,CANDIDATE
0.690458,5.8896,0.6655,,,1.50882,6912.12,,,0.086,0.0,1.0,,,CANDIDATE
0.689647,,,6.58,0.587,1.08,6481.0,,4.0,0.0,0.0,1.0,,,CANDIDATE
4.1687922,6.61,1.69,16.1,1.43634579,1.14,6005.0,,,,0.0,1.0,,,CANDIDATE
21.17051,5.004,1.5771,81.0,7.2,2.536,,,,,0.0,1.0,,,CANDIDATE
5.31937553733,6.6913995,0.6537084,19.66846395,1.75470584,2.36934,6350.0,,3.78918,,0.0,1.0,1698.93,1968.9003,CANDIDATE
5.319075,6.756,0.7124,20.0,2.0,2.28,,,,,0.0,1.0,,,CANDIDATE
12.86772,3.08088,,71.0,6.3,1.79,6861.0,,4.11,,0.0,1.0,,,FALSE POSITIVE
12.866412,3.12,3.1311,61.0,5.4,1.642,,,,,0.0,1.0,,,FALSE POSITIVE
12.866539,3.02,3.01,22.3,1.98947275,1.18,6066.0,,,,0.0,1.0,,,FALSE POSITIVE
1.8461222,2.99,0.965,19.5,1.73967348,1.82,7536.0,,,,0.0,1.0,,,FALSE POSITIVE
1.84617,3.0,,2.14,0.191,0.21,3252.0,,5.08,,0.0,1.0,,,FALSE POSITIVE
6.6223,1.224,0.348,,,5.54598,5000.0,,,,0.0,1.0,,,CANDIDATE
0.5217136,4.0152,1.4286,452.0,40.3,11.27,,,,,0.0,1.0,,,CANDIDATE
11.975818,6.84,7.83,8.43,0.75207423,0.28,3320.0,,,,0.0,1.0,,,CANDIDATE
11.97495,6.786,,256.0,22.8,3.4,5200.0,,3.32,,0.0,1.0,,,CANDIDATE
5.9895,1.848,0.0354,2.04,0.182,1.03,,,,,0.0,1.0,,,CANDIDATE
28.707623,3.61,3.57,21.2,1.89133732,1.03,5838.0,,,,0.0,1.0,,,CANDIDATE
15.4715,3.6288,,9.2,0.82,1.89,5791.0,,4.005,,0.0,1.0,,,CANDIDATE
15.465691,3.08,0.249,4.13,0.36845392,0.76,4989.0,,,,0.0,1.0,,,CANDIDATE
15.466674,,,16.12109089,1.44,1.231429,5807.0,,4.25,0.45,0.0,1.0,,,CANDIDATE
1.4556637,2.512,2.958,,,1.84406,6520.0,1.341,4.03395,,0.0,1.0,37603.536035572615,7175.705123396226,CANDIDATE
1.45556515,2.5488,2.7008,71.0,6.3,2.043,,,,,0.0,1.0,,,CANDIDATE
3.3262396,5.81,0.101,1.16,0.10348827,0.33,3404.0,,,,0.0,1.0,,,CANDIDATE
3.32592848,4.655,0.091,,,60.6949,4017.0,,,,0.0,1.0,,,CANDIDATE
3.3255,7.104,0.1179,1080.0,96.4,85.0,,,,,0.0,1.0,,,CANDIDATE
